label,density,success,cost,route_completion,collision,out_of_road,lane_deviation,ttc_risk,status,paper_role,claim_note,source
baseline,0.0,0.006666666666666667,0.9933333333333333,0.3029121061499139,0.0,0.9933333333333333,0.356738555258682,0.0,accepted,failed lower-bound comparator,无 guard / 无 curriculum / 无 risk，正式评估全密度 unsafe。,outputs/tuned_compare_baseline_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
baseline,0.08,0.0,1.0,0.24203323912218055,0.45333333333333337,0.5466666666666666,0.33835026063770435,0.09033808290128136,accepted,failed lower-bound comparator,无 guard / 无 curriculum / 无 risk，正式评估全密度 unsafe。,outputs/tuned_compare_baseline_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
baseline,0.15,0.0,1.0,0.18951866394192662,0.6266666666666667,0.37333333333333335,0.316675756951552,0.1327554927367928,accepted,failed lower-bound comparator,无 guard / 无 curriculum / 无 risk，正式评估全密度 unsafe。,outputs/tuned_compare_baseline_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
curriculum,0.0,0.006666666666666667,0.9933333333333333,0.34894748883854637,0.0,0.9933333333333333,0.3034089042471236,0.0,accepted,failed curriculum-only comparator,curriculum 训练窗口有改善，但最终 held-out 仍 unsafe。,outputs/tuned_compare_curriculum_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
curriculum,0.08,0.0,1.0,0.23556966126856244,0.37333333333333335,0.6266666666666667,0.2785537564648105,0.09684660697372637,accepted,failed curriculum-only comparator,curriculum 训练窗口有改善，但最终 held-out 仍 unsafe。,outputs/tuned_compare_curriculum_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
curriculum,0.15,0.0,1.0,0.17653213530547082,0.6266666666666667,0.37333333333333335,0.26119275539889697,0.17597803894321876,accepted,failed curriculum-only comparator,curriculum 训练窗口有改善，但最终 held-out 仍 unsafe。,outputs/tuned_compare_curriculum_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
risk,0.0,0.0,0.0,0.0088055184722317,0.0,0.0,0.003318666608939514,0.0,accepted,failed risk-only comparator,零 cost 来自几乎不动，不能解释为安全。,outputs/tuned_compare_risk_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
risk,0.08,0.0,0.0,0.00907435156864243,0.0,0.0,0.005142132310152286,0.0,accepted,failed risk-only comparator,零 cost 来自几乎不动，不能解释为安全。,outputs/tuned_compare_risk_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
risk,0.15,0.0,0.0,0.008876365962382676,0.0,0.0,0.0061973748035538765,0.0,accepted,failed risk-only comparator,零 cost 来自几乎不动，不能解释为安全。,outputs/tuned_compare_risk_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
guard_only,0.0,0.9733333333333333,0.0,0.9902073727309076,0.0,0.0,0.061805349798109116,0.0,accepted,strong mechanism baseline,当前最干净的 guard+curriculum 机制证据之一。,outputs/tuned_ablation_guard_only_nenv16_aggregate/mean_by_density.csv
guard_only,0.08,0.8733333333333334,0.09333333333333334,0.9404938454525765,0.09333333333333334,0.0,0.0791711927576199,0.0037571173315305508,accepted,strong mechanism baseline,当前最干净的 guard+curriculum 机制证据之一。,outputs/tuned_ablation_guard_only_nenv16_aggregate/mean_by_density.csv
guard_only,0.15,0.6333333333333333,0.20666666666666667,0.867815496168541,0.19999999999999998,0.006666666666666667,0.13634125812863734,0.01627759066310022,accepted,strong mechanism baseline,当前最干净的 guard+curriculum 机制证据之一。,outputs/tuned_ablation_guard_only_nenv16_aggregate/mean_by_density.csv
shield_only,0.0,0.9933333333333333,0.0,0.9916280638982645,0.0,0.0,0.06088609025944441,0.0,accepted,strong action-guard baseline,action guard alone解释了大部分性能。,outputs/tuned_compare_shield_only_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
shield_only,0.08,0.9133333333333332,0.06666666666666667,0.9592454577629775,0.04666666666666667,0.02,0.07027947741063356,0.00351875799254249,accepted,strong action-guard baseline,action guard alone解释了大部分性能。,outputs/tuned_compare_shield_only_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
shield_only,0.15,0.6266666666666667,0.22666666666666668,0.8710546865014698,0.22666666666666668,0.0,0.10513956770225923,0.016501156916972393,accepted,strong action-guard baseline,action guard alone解释了大部分性能。,outputs/tuned_compare_shield_only_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
full_proposed_candidate,0.0,0.973333,0.0,0.989437,0.0,0.0,0.132425,0.0,accepted historical candidate,full proposed candidate,可作为当前 full 方法候选，但不优于 guard/shield。,outputs/candidate_lane1_out150_cost50_nenv16_aggregate/mean_by_density.csv
