start_time=2026-06-30T18:18:25+08:00
variant=baseline seed=0 root=outputs/tuned_compare_baseline_nenv16_seed0_1m timesteps=1000000 horizon=1500 n_envs=16 episodes=50 device=cuda extra_args=--ent-coef 0.01 --reward-cost 50 --reward-overspeed 3 --reward-target-speed 18 --reward-progress 40 --reward-lane 1.0 --reward-success-bonus 55 --reward-crash-penalty 120 --reward-out-of-road-penalty 150 --stage2-success 0.50 --stage2-cost 0.25 --demote-cost 0.35
/home/aaa/data/qj/stable-baselines3-master/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
Using cuda device
Logging to outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/tensorboard/baseline_ppo_s0_1
------------------------------
| time/              |       |
|    fps             | 1438  |
|    iterations      | 1     |
|    time_elapsed    | 11    |
|    total_timesteps | 16384 |
------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.808       |
|    base_reward          | 15.3        |
|    collision            | 0           |
|    crash_object         | 0           |
|    crash_vehicle        | 0           |
|    episode_cost         | 0           |
|    episode_length       | 1500        |
|    jerk                 | 0.599       |
|    lane_deviation       | 0.112       |
|    max_lane_deviation   | 0.593       |
|    mean_speed_kmh       | 0.683       |
|    min_ttc              | nan         |
|    out_of_road          | 0           |
|    route_completion     | 0.0334      |
|    shaped_reward        | 15.3        |
|    steering_variation   | 0.779       |
|    success              | 0           |
|    ttc_risk             | 0           |
| rollout/                |             |
|    ep_len_mean          | 1.5e+03     |
|    ep_rew_mean          | 14.5        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1331        |
|    iterations           | 2           |
|    time_elapsed         | 24          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.017493982 |
|    clip_fraction        | 0.234       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.81       |
|    explained_variance   | -0.0217     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0461     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0257     |
|    std                  | 0.978       |
|    value_loss           | 0.0144      |
-----------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.724       |
|    base_reward          | 29.5        |
|    collision            | 0           |
|    crash_object         | 0           |
|    crash_vehicle        | 0           |
|    episode_cost         | 0           |
|    episode_length       | 1500        |
|    jerk                 | 0.573       |
|    lane_deviation       | 0.219       |
|    max_lane_deviation   | 0.993       |
|    mean_speed_kmh       | 1.17        |
|    min_ttc              | nan         |
|    out_of_road          | 0           |
|    route_completion     | 0.0705      |
|    shaped_reward        | 29.5        |
|    steering_variation   | 0.86        |
|    success              | 0           |
|    ttc_risk             | 0           |
| rollout/                |             |
|    ep_len_mean          | 1.48e+03    |
|    ep_rew_mean          | 15.9        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1250        |
|    iterations           | 3           |
|    time_elapsed         | 39          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.019851198 |
|    clip_fraction        | 0.241       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.75       |
|    explained_variance   | 0.0615      |
|    learning_rate        | 0.0003      |
